City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Camocim,BR,2021-02-26 00:02:07,-2.9022,-40.8411,78.48,86,63,10.54,broken clouds
111,Mount Gambier,AU,2021-02-26 00:03:51,-37.8333,140.7667,62.6,48,90,10.36,overcast clouds
112,Ligayan,PH,2021-02-26 00:06:17,4.6533,119.4706,80.92,77,3,3.06,clear sky
113,Bengkulu,ID,2021-02-26 00:03:27,-3.8004,102.2655,75.63,84,99,5.93,overcast clouds
114,Boa Vista,BR,2021-02-26 00:06:17,2.8197,-60.6733,86.0,54,0,6.91,clear sky
115,Kamaishi,JP,2021-02-26 00:06:18,39.2667,141.8833,30.2,80,20,4.61,few clouds
116,Jackson,US,2021-02-26 00:06:18,42.4165,-122.8345,55.4,47,40,8.05,scattered clouds
117,Cururupu,BR,2021-02-26 00:03:58,-1.8283,-44.8683,75.25,94,99,3.87,overcast clouds
118,Lebu,CL,2021-02-26 00:03:26,-37.6167,-73.65,57.9,91,57,17.0,broken clouds
119,Faanui,PF,2021-02-26 00:03:23,-16.4833,-151.75,82.65,74,5,12.59,clear sky
120,Dikson,RU,2021-02-26 00:02:07,73.5069,80.5464,-18.13,88,73,8.57,broken clouds
121,Amos,CA,2021-02-26 00:06:19,48.5669,-78.1162,8.6,52,75,2.3,broken clouds
122,Paveh,IR,2021-02-26 00:06:19,35.0434,46.3565,32.13,91,1,5.86,clear sky
123,Adre,TD,2021-02-26 00:03:49,13.4667,22.2,62.29,29,3,16.31,clear sky
124,Roma,US,2021-02-26 00:05:01,43.2128,-75.4557,26.6,59,1,5.75,clear sky
125,Naze,JP,2021-02-26 00:05:25,28.3667,129.4833,69.8,88,75,24.16,light rain
126,Challapata,BO,2021-02-26 00:06:20,-18.9,-66.7667,54.01,53,65,9.71,broken clouds
127,Atambua,ID,2021-02-26 00:06:20,-9.1061,124.8925,78.37,79,81,1.25,broken clouds
128,Vrangel,RU,2021-02-26 00:04:00,42.7297,133.0839,16.79,82,1,9.31,clear sky
129,Avarua,CK,2021-02-26 00:01:19,-21.2078,-159.775,82.4,78,75,8.05,broken clouds
130,Lorengau,PG,2021-02-26 00:04:41,-2.0226,147.2712,84.29,75,100,10.36,overcast clouds
131,Sur,OM,2021-02-26 00:06:21,22.5667,59.5289,77.02,42,0,11.95,clear sky
132,Aklavik,CA,2021-02-26 00:04:06,68.2191,-135.0107,-27.4,68,75,4.61,broken clouds
133,Guhagar,IN,2021-02-26 00:06:23,17.4842,73.1929,74.17,56,4,6.22,clear sky
134,Alausi,EC,2021-02-26 00:06:23,-2.2,-78.8333,51.24,89,100,3.22,light rain
135,Tessalit,ML,2021-02-26 00:04:19,20.1986,1.0114,56.05,24,0,8.72,clear sky
136,Nanortalik,GL,2021-02-26 00:06:24,60.1432,-45.2371,29.17,90,100,7.36,overcast clouds
