City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Natal,BR,2021-02-26 16:52:27,-5.795,-35.2094,82.4,78,75,5.75
216,Mtwara,TZ,2021-02-26 16:54:13,-10.2667,40.1833,77.0,88,75,9.22
217,Port Keats,AU,2021-02-26 16:54:13,-14.25,129.55,80.22,82,25,3.65
218,Bud,US,2021-02-26 16:54:13,39.447,-86.1758,42.01,76,87,10.96
219,San Patricio,US,2021-02-26 16:54:14,28.017,-97.5169,77.0,69,90,19.57
220,Salalah,OM,2021-02-26 16:49:44,17.0151,54.0924,77.0,78,0,4.61
221,Cabedelo,BR,2021-02-26 16:54:14,-6.9811,-34.8339,71.6,100,90,8.05
222,Bezdan,RS,2021-02-26 16:54:15,45.8502,18.9259,62.6,42,0,1.36
223,Ahipara,NZ,2021-02-26 16:54:15,-35.1667,173.1667,60.39,91,89,4.32
224,Mayo,US,2021-02-26 16:54:15,38.8876,-76.5119,46.99,39,1,4.61
225,Krasnoselkup,RU,2021-02-26 16:54:15,65.7,82.4667,-20.24,87,100,3.15
226,Medveda,RU,2021-02-26 16:54:16,56.5081,92.4078,-7.6,59,40,8.95
227,Sisimiut,GL,2021-02-26 16:54:16,66.9395,-53.6735,16.18,93,87,7.99
228,Buraydah,SA,2021-02-26 16:54:16,26.326,43.975,62.6,34,0,5.75
229,Weinan,CN,2021-02-26 16:54:17,34.5036,109.5089,42.01,81,75,8.95
230,Dikson,RU,2021-02-26 16:54:17,73.5069,80.5464,-15.43,89,83,11.18
231,Winsford,GB,2021-02-26 16:54:17,53.1833,-2.5167,52.0,68,15,4.76
232,Isangel,VU,2021-02-26 16:54:18,-19.55,169.2667,77.85,82,6,11.81
233,Yichun,CN,2021-02-26 16:54:18,47.7,128.9,1.74,92,96,2.75
234,Coahuayana,MX,2021-02-26 16:54:18,18.7333,-103.6833,80.6,44,40,3.27
235,Gizo,SB,2021-02-26 16:54:19,-8.103,156.8419,79.81,85,100,11.45
236,Ekuvukeni,ZA,2021-02-26 16:54:19,-28.4675,30.1551,61.59,90,66,4.61
237,Urubamba,PE,2021-02-26 16:54:19,-13.3047,-72.1158,68.0,30,40,5.75
238,Kashi,CN,2021-02-26 16:54:20,39.4547,75.9797,42.8,15,75,4.47
239,Chapais,CA,2021-02-26 16:54:20,49.7834,-74.8492,12.2,67,1,13.8
240,Morgan City,US,2021-02-26 16:54:20,29.6994,-91.2068,77.0,88,90,10.36
241,Nagua,DO,2021-02-26 16:54:21,19.3832,-69.8474,78.8,73,40,11.77
242,Tignere,CM,2021-02-26 16:54:21,7.3667,12.65,81.9,19,84,4.88
243,Comodoro Rivadavia,AR,2021-02-26 16:54:22,-45.8667,-67.5,66.2,77,40,11.5
244,Caucaia,BR,2021-02-26 16:51:21,-3.7361,-38.6531,86.0,70,75,11.5
245,Umm Lajj,SA,2021-02-26 16:54:22,25.0213,37.2685,73.87,48,0,15.03
246,Stromness,GB,2021-02-26 16:54:22,58.965,-3.296,48.2,81,20,3.44
247,Vicksburg,US,2021-02-26 16:54:22,32.3526,-90.8779,60.8,88,90,4.61
248,Esmeraldas,BR,2021-02-26 16:49:59,-19.7625,-44.3139,78.8,88,75,11.5
249,Dingle,PH,2021-02-26 16:54:23,10.9995,122.6711,75.61,85,60,4.92
250,Ilulissat,GL,2021-02-26 16:54:23,69.2167,-51.1,26.6,39,40,11.5
251,Ajdabiya,LY,2021-02-26 16:52:40,30.7554,20.2263,61.9,55,66,10.25
252,Labuhan,ID,2021-02-26 16:54:24,-6.8844,112.2051,78.98,86,100,8.43
