City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,Bayonet Point,US,70.0,clear sky,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
150,El Carrizo,MX,78.01,scattered clouds,24.0261,-106.8814,
154,Manaquiri,BR,77.0,light rain,-3.3167,-60.35,
159,Carnarvon,AU,73.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
160,Salta,AR,71.6,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
168,Macas,EC,71.6,broken clouds,-2.3167,-78.1167,Casa Upano - Guesthouse & Sanctuary
170,Rawson,AR,73.85,clear sky,-43.3002,-65.1023,Hosteria Sampedro
171,Mount Isa,AU,78.8,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
172,Tupa,BR,73.65,clear sky,-21.9347,-50.5136,Grande Hotel Tamoios
181,Ixtapa,MX,75.2,broken clouds,20.7,-105.2,Hotel Plaza Providencia
186,Dingle,PH,78.53,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
188,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
191,Hambantota,LK,73.4,few clouds,6.1241,81.1185,Bungalow 63
193,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Ahipara,NZ,73.76,clear sky,-35.1667,173.1667,Ahipara Holiday Park
210,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
217,Kendari,ID,79.21,light rain,-3.945,122.4989,Hotel Wixel
221,Buchanan,LR,79.14,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
227,San Patricio,US,73.4,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
233,Macenta,GN,70.16,scattered clouds,8.5435,-9.471,Hôtel Yansané
235,Boyolangu,ID,77.18,broken clouds,-8.1181,111.8935,Yos ega cv
238,Brokopondo,SR,76.06,broken clouds,4.75,-55.1667,Matu Island
242,Bartica,GY,78.8,broken clouds,6.4,-58.6167,Relax Inn Hotel
246,Burbank,US,73.4,clear sky,34.1808,-118.309,Holiday Inn Burbank-Media Center
247,Cidreira,BR,73.99,clear sky,-30.1811,-50.2056,Hotel Castelo
254,Grand-Santi,GF,72.64,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
262,Puerto Maldonado,PE,79.66,overcast clouds,-12.6,-69.1833,Wasai Hotel
263,Yulara,AU,75.2,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
266,Quatre Cocos,MU,78.8,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
267,San Ramon De La Nueva Oran,AR,75.99,broken clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
272,Parbhani,IN,72.61,clear sky,19.2667,76.7833,City Palace
274,Necochea,AR,72.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
276,Lubao,PH,73.4,scattered clouds,14.9167,120.55,Hacienda Gracia
277,Bandarbeyla,SO,77.31,broken clouds,9.4942,50.8122,JABIR HOTEL
279,Maturin,VE,72.41,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
280,Geraldton,AU,71.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
288,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
290,Caravelas,BR,77.94,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
293,Porlamar,VE,76.59,scattered clouds,10.958,-63.8491,Hotel Bella Vista
294,Balikpapan,ID,78.8,broken clouds,-1.2675,116.8289,ibis Balikpapan
301,Goya,AR,77.99,clear sky,-29.14,-59.2626,Apart Costanera
306,Aquin,HT,76.3,clear sky,18.2833,-73.4,Asheev Beach
311,Chicama,PE,74.95,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
317,Guaratinga,BR,78.8,few clouds,-16.5667,-39.5667,Hotel Caraíva
323,Sibolga,ID,75.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
326,Namibe,AO,73.53,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
327,Sechura,PE,78.49,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
332,Palembang,ID,75.2,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
333,Yulin,CN,70.32,overcast clouds,22.6333,110.15,罗弟天海大厦
334,Banjarmasin,ID,78.8,few clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
336,Camana,PE,71.62,scattered clouds,-16.6228,-72.7111,Hostal Morales
338,Mangrol,IN,70.54,clear sky,21.1167,70.1167,Hotel The Royal Honours
339,Trairi,BR,78.48,clear sky,-3.2778,-39.2689,janelas do mar
342,Itaituba,BR,76.06,very heavy rain,-4.2761,-55.9836,Hotel Campos
344,Kindu,CD,74.55,broken clouds,-2.95,25.95,Résidence Okanda
345,Benguela,AO,76.03,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
348,Sao Jose Da Coroa Grande,BR,78.57,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
353,Kismayo,SO,76.14,clear sky,-0.3582,42.5454,Agan-Hotel
357,Puerto Colombia,CO,78.8,clear sky,10.9878,-74.9547,Hotel El Emigrante
358,Laureles,US,75.0,few clouds,26.1092,-97.4941,Los Fresnos Inn
367,Vao,NC,78.48,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
369,Farafenni,GM,78.03,clear sky,13.5667,-15.6,Eddy's Hotel
376,Jutai,BR,76.28,broken clouds,-5.1833,-68.9,
378,Port Moresby,PG,78.8,broken clouds,-9.4431,147.1797,Lamana Hotel
379,Sibu,MY,71.6,few clouds,2.3,111.8167,RH HOTEL (4 Star)
383,Kalmunai,LK,74.66,scattered clouds,7.4167,81.8167,VS Villa
387,Jizan,SA,77.0,few clouds,17.3333,42.6667,شهدان. ابوالحجر
389,Soyo,AO,76.51,overcast clouds,-6.1349,12.3689,Hotel Mpampa
